Sales Person,Country,Product,Date,Amount,Boxes Shipped,Month,Year,Price_Per_Box
Andria Kimpton,Canada,After Nines,2022-05-11,2163.0,70,5,2022,30.9
Roddy Speechley,USA,Manuka Honey Choco,2022-07-22,9583.0,315,7,2022,30.42222222222222
Andria Kimpton,UK,50% Dark Bites,2022-08-24,2653.0,314,8,2022,8.449044585987261
Kelci Walkden,New Zealand,After Nines,2022-07-07,147.0,72,7,2022,2.0416666666666665
Camilla Castle,Australia,85% Dark Bars,2022-05-19,3654.0,14,5,2022,261.0
Karlen McCaffrey,India,Manuka Honey Choco,2022-07-04,2443.0,581,7,2022,4.204819277108434
Kelci Walkden,USA,After Nines,2022-06-02,938.0,16,6,2022,58.625
Karlen McCaffrey,USA,Raspberry Choco,2022-04-15,14749.0,354,4,2022,41.663841807909606
Mallorie Waber,Canada,Choco Coated Almonds,2022-07-11,4781.0,241,7,2022,19.83817427385892
Andria Kimpton,India,Spicy Special Slims,2022-02-23,6307.0,142,2,2022,44.41549295774648
Madelene Upcott,Canada,Almond Choco,2022-08-22,7602.0,102,8,2022,74.52941176470588
Kaine Padly,USA,Peanut Butter Cubes,2022-02-16,6790.0,188,2,2022,36.11702127659574
Van Tuxwell,USA,50% Dark Bites,2022-01-13,9737.0,160,1,2022,60.85625
Curtice Advani,Australia,Milk Bars,2022-02-14,6979.0,18,2,2022,387.72222222222223
Roddy Speechley,India,Eclairs,2022-06-10,4382.0,303,6,2022,14.462046204620462
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,5243.0,176,7,2022,29.789772727272727
Curtice Advani,Canada,Almond Choco,2022-03-24,4865.0,70,3,2022,69.5
Brien Boise,Australia,Fruit & Nut Bars,2022-06-06,8575.0,23,6,2022,372.82608695652175
Dotty Strutley,Australia,Drinking Coco,2022-07-19,91.0,135,7,2022,0.674074074074074
Beverie Moffet,USA,Raspberry Choco,2022-04-19,14798.0,83,4,2022,178.289156626506
Marney O'Breen,India,85% Dark Bars,2022-07-19,2205.0,179,7,2022,12.318435754189943
Jehu Rudeforth,Canada,Drinking Coco,2022-07-15,441.0,24,7,2022,18.375
Ches Bonnell,New Zealand,Spicy Special Slims,2022-02-14,3556.0,18,2,2022,197.55555555555554
Brien Boise,Canada,99% Dark & Pure,2022-05-18,16793.0,416,5,2022,40.36778846153846
Barr Faughny,Australia,Fruit & Nut Bars,2022-06-30,15421.0,55,6,2022,280.3818181818182
Andria Kimpton,Australia,50% Dark Bites,2022-06-02,4438.0,227,6,2022,19.550660792951543
Andria Kimpton,Australia,Drinking Coco,2022-06-28,1603.0,48,6,2022,33.395833333333336
Marney O'Breen,Australia,Organic Choco Syrup,2022-05-16,273.0,174,5,2022,1.5689655172413792
Kelci Walkden,Canada,Baker's Choco Chips,2022-05-26,3073.0,302,5,2022,10.175496688741722
Karlen McCaffrey,India,Almond Choco,2022-07-06,6090.0,149,7,2022,40.87248322147651
Oby Sorrel,India,99% Dark & Pure,2022-05-27,10255.0,11,5,2022,932.2727272727273
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2022-04-14,2030.0,11,4,2022,184.54545454545453
Van Tuxwell,Australia,Organic Choco Syrup,2022-08-10,19453.0,14,8,2022,1389.5
Camilla Castle,India,50% Dark Bites,2022-07-04,9275.0,411,7,2022,22.5669099756691
Oby Sorrel,India,Organic Choco Syrup,2022-07-08,6181.0,56,7,2022,110.375
Jan Morforth,USA,Peanut Butter Cubes,2022-07-22,9037.0,102,7,2022,88.59803921568627
Gigi Bohling,USA,Choco Coated Almonds,2022-03-02,12313.0,103,3,2022,119.54368932038835
Gigi Bohling,UK,Almond Choco,2022-01-10,5642.0,9,1,2022,626.8888888888889
Jehu Rudeforth,New Zealand,White Choc,2022-03-11,2800.0,241,3,2022,11.618257261410788
Andria Kimpton,New Zealand,Peanut Butter Cubes,2022-06-20,959.0,265,6,2022,3.6188679245283017
Van Tuxwell,UK,Organic Choco Syrup,2022-08-26,2002.0,214,8,2022,9.355140186915888
Roddy Speechley,Canada,Milk Bars,2022-07-13,609.0,32,7,2022,19.03125
Camilla Castle,USA,Spicy Special Slims,2022-02-11,1274.0,244,2,2022,5.221311475409836
Marney O'Breen,USA,Orange Choco,2022-01-27,7595.0,181,1,2022,41.96132596685083
Van Tuxwell,UK,99% Dark & Pure,2022-01-31,4725.0,137,1,2022,34.48905109489051
Camilla Castle,USA,White Choc,2022-08-18,9681.0,24,8,2022,403.375
Andria Kimpton,USA,Raspberry Choco,2022-06-30,14504.0,21,6,2022,690.6666666666666
Dotty Strutley,Australia,Fruit & Nut Bars,2022-08-23,280.0,311,8,2022,0.9003215434083601
Brien Boise,New Zealand,Mint Chip Choco,2022-08-01,63.0,181,8,2022,0.34806629834254144
Roddy Speechley,New Zealand,After Nines,2022-05-25,8001.0,10,5,2022,800.1
Roddy Speechley,Canada,Organic Choco Syrup,2022-01-10,4032.0,82,1,2022,49.170731707317074
Dennison Crosswaite,Australia,70% Dark Bites,2022-02-07,5859.0,108,2,2022,54.25
Karlen McCaffrey,USA,Orange Choco,2022-05-12,11095.0,401,5,2022,27.668329177057355
Madelene Upcott,Australia,Spicy Special Slims,2022-03-07,7182.0,408,3,2022,17.602941176470587
Dennison Crosswaite,Australia,85% Dark Bars,2022-04-05,6881.0,420,4,2022,16.383333333333333
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-01-03,7154.0,348,1,2022,20.557471264367816
Dennison Crosswaite,UK,Eclairs,2022-03-24,6188.0,270,3,2022,22.918518518518518
Madelene Upcott,India,Raspberry Choco,2022-07-07,4221.0,9,7,2022,469.0
Van Tuxwell,USA,After Nines,2022-07-26,630.0,264,7,2022,2.3863636363636362
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,1743.0,111,7,2022,15.702702702702704
Karlen McCaffrey,Canada,50% Dark Bites,2022-07-15,2919.0,65,7,2022,44.90769230769231
Roddy Speechley,New Zealand,Orange Choco,2022-04-01,49.0,97,4,2022,0.5051546391752577
Beverie Moffet,Australia,Eclairs,2022-06-20,1827.0,6,6,2022,304.5
Kelci Walkden,UK,Fruit & Nut Bars,2022-06-29,13006.0,482,6,2022,26.983402489626556
Marney O'Breen,USA,50% Dark Bites,2022-06-15,1064.0,106,6,2022,10.037735849056604
Husein Augar,USA,After Nines,2022-04-08,11571.0,180,4,2022,64.28333333333333
Dennison Crosswaite,Australia,Raspberry Choco,2022-03-14,5740.0,31,3,2022,185.16129032258064
Andria Kimpton,USA,Fruit & Nut Bars,2022-07-15,1456.0,359,7,2022,4.055710306406685
Kelci Walkden,India,Eclairs,2022-04-19,5334.0,80,4,2022,66.675
Marney O'Breen,USA,99% Dark & Pure,2022-03-28,4151.0,296,3,2022,14.02364864864865
Brien Boise,Canada,Spicy Special Slims,2022-03-04,8106.0,101,3,2022,80.25742574257426
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-08-02,126.0,40,8,2022,3.15
Husein Augar,UK,Spicy Special Slims,2022-08-25,4697.0,42,8,2022,111.83333333333333
Marney O'Breen,USA,Almond Choco,2022-02-25,7798.0,167,2,2022,46.69461077844311
Kelci Walkden,India,Orange Choco,2022-06-07,9408.0,138,6,2022,68.17391304347827
Jan Morforth,India,Spicy Special Slims,2022-04-12,1939.0,520,4,2022,3.728846153846154
Ches Bonnell,India,Spicy Special Slims,2022-07-06,10906.0,94,7,2022,116.02127659574468
Kelci Walkden,UK,Smooth Sliky Salty,2022-01-19,5929.0,175,1,2022,33.88
Madelene Upcott,Australia,Fruit & Nut Bars,2022-01-05,5579.0,92,1,2022,60.641304347826086
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,10927.0,141,1,2022,77.49645390070921
Wilone O'Kielt,Australia,Drinking Coco,2022-04-06,623.0,283,4,2022,2.2014134275618376
Gunar Cockshoot,Australia,Fruit & Nut Bars,2022-06-15,6013.0,21,6,2022,286.3333333333333
Gigi Bohling,Canada,Baker's Choco Chips,2022-01-28,1505.0,47,1,2022,32.02127659574468
Kelci Walkden,India,Caramel Stuffed Bars,2022-03-16,476.0,125,3,2022,3.808
Rafaelita Blaksland,Australia,Drinking Coco,2022-02-21,11550.0,396,2,2022,29.166666666666668
Kelci Walkden,USA,Manuka Honey Choco,2022-02-16,17318.0,87,2,2022,199.05747126436782
Jehu Rudeforth,Canada,Spicy Special Slims,2022-01-13,1848.0,27,1,2022,68.44444444444444
Kelci Walkden,Australia,Eclairs,2022-03-23,7273.0,547,3,2022,13.296160877513712
Curtice Advani,Canada,Spicy Special Slims,2022-06-16,854.0,118,6,2022,7.237288135593221
Oby Sorrel,India,Raspberry Choco,2022-04-14,6832.0,46,4,2022,148.52173913043478
Kelci Walkden,UK,Eclairs,2022-01-25,4606.0,57,1,2022,80.80701754385964
Jan Morforth,India,Almond Choco,2022-03-11,4466.0,22,3,2022,203.0
Dotty Strutley,UK,Almond Choco,2022-07-28,16114.0,96,7,2022,167.85416666666666
Marney O'Breen,New Zealand,After Nines,2022-03-09,1561.0,44,3,2022,35.47727272727273
Husein Augar,Australia,Orange Choco,2022-06-28,8897.0,188,6,2022,47.32446808510638
Marney O'Breen,Australia,Milk Bars,2022-07-28,2464.0,387,7,2022,6.366925064599483
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,4830.0,50,8,2022,96.6
Kaine Padly,Australia,Manuka Honey Choco,2022-01-12,2765.0,264,1,2022,10.473484848484848
Beverie Moffet,New Zealand,White Choc,2022-03-24,7126.0,7,3,2022,1018.0
Van Tuxwell,UK,Milk Bars,2022-07-25,4263.0,90,7,2022,47.36666666666667
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,3605.0,403,8,2022,8.945409429280398
Van Tuxwell,India,Organic Choco Syrup,2022-05-16,19929.0,174,5,2022,114.53448275862068
Roddy Speechley,India,Smooth Sliky Salty,2022-08-10,5103.0,140,8,2022,36.45
Jan Morforth,India,Eclairs,2022-01-05,2541.0,27,1,2022,94.11111111111111
Ches Bonnell,UK,Smooth Sliky Salty,2022-07-11,5663.0,110,7,2022,51.481818181818184
Wilone O'Kielt,USA,After Nines,2022-04-25,392.0,30,4,2022,13.066666666666666
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,10976.0,121,4,2022,90.7107438016529
Barr Faughny,USA,Raspberry Choco,2022-04-12,9282.0,101,4,2022,91.9009900990099
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,1827.0,117,8,2022,15.615384615384615
Gigi Bohling,New Zealand,Manuka Honey Choco,2022-06-28,8267.0,272,6,2022,30.393382352941178
Ches Bonnell,Australia,Eclairs,2022-07-05,4116.0,128,7,2022,32.15625
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2022-06-07,2093.0,45,6,2022,46.51111111111111
Brien Boise,New Zealand,Smooth Sliky Salty,2022-01-18,1015.0,27,1,2022,37.592592592592595
Brien Boise,Australia,Baker's Choco Chips,2022-01-04,12516.0,212,1,2022,59.0377358490566
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,2758.0,18,1,2022,153.22222222222223
Kelci Walkden,India,Almond Choco,2022-03-14,3297.0,149,3,2022,22.12751677852349
Camilla Castle,Australia,70% Dark Bites,2022-04-29,6048.0,477,4,2022,12.679245283018869
Oby Sorrel,India,Smooth Sliky Salty,2022-02-07,10101.0,108,2,2022,93.52777777777777
Kaine Padly,UK,Organic Choco Syrup,2022-03-31,2282.0,178,3,2022,12.820224719101123
Marney O'Breen,India,Caramel Stuffed Bars,2022-03-16,4361.0,81,3,2022,53.839506172839506
Karlen McCaffrey,UK,Eclairs,2022-01-25,7798.0,196,1,2022,39.785714285714285
Van Tuxwell,India,Baker's Choco Chips,2022-06-20,3052.0,447,6,2022,6.827740492170022
Gigi Bohling,UK,After Nines,2022-03-29,8029.0,175,3,2022,45.88
Curtice Advani,Australia,Orange Choco,2022-07-12,854.0,136,7,2022,6.279411764705882
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-07-11,5460.0,138,7,2022,39.56521739130435
Karlen McCaffrey,Canada,Smooth Sliky Salty,2022-01-19,3017.0,184,1,2022,16.39673913043478
Andria Kimpton,USA,85% Dark Bars,2022-04-05,8911.0,82,4,2022,108.67073170731707
Jehu Rudeforth,Canada,Milk Bars,2022-02-21,7203.0,12,2,2022,600.25
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2022-05-20,13083.0,14,5,2022,934.5
Mallorie Waber,Australia,Milk Bars,2022-07-29,2779.0,104,7,2022,26.721153846153847
Barr Faughny,USA,Fruit & Nut Bars,2022-01-28,9058.0,46,1,2022,196.91304347826087
Marney O'Breen,UK,Caramel Stuffed Bars,2022-07-19,3549.0,112,7,2022,31.6875
Mallorie Waber,New Zealand,Manuka Honey Choco,2022-04-13,9436.0,11,4,2022,857.8181818181819
Roddy Speechley,India,Peanut Butter Cubes,2022-02-11,10283.0,21,2,2022,489.6666666666667
Roddy Speechley,New Zealand,Milk Bars,2022-03-02,5446.0,116,3,2022,46.94827586206897
Ches Bonnell,Australia,White Choc,2022-03-02,1043.0,202,3,2022,5.163366336633663
Van Tuxwell,USA,99% Dark & Pure,2022-07-28,12586.0,6,7,2022,2097.6666666666665
Kelci Walkden,India,After Nines,2022-01-07,1687.0,520,1,2022,3.2442307692307693
Brien Boise,UK,White Choc,2022-04-12,5299.0,167,4,2022,31.730538922155688
Van Tuxwell,Canada,Almond Choco,2022-06-27,3213.0,72,6,2022,44.625
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,5194.0,418,1,2022,12.425837320574162
Karlen McCaffrey,UK,Baker's Choco Chips,2022-02-07,4753.0,389,2,2022,12.218508997429305
Jehu Rudeforth,Australia,Orange Choco,2022-03-23,13706.0,26,3,2022,527.1538461538462
Marney O'Breen,India,Peanut Butter Cubes,2022-01-10,6489.0,146,1,2022,44.445205479452056
Oby Sorrel,UK,Choco Coated Almonds,2022-03-17,9324.0,41,3,2022,227.41463414634146
Gigi Bohling,USA,Spicy Special Slims,2022-01-21,10829.0,54,1,2022,200.53703703703704
Barr Faughny,Australia,White Choc,2022-07-04,8113.0,370,7,2022,21.927027027027027
Kaine Padly,Canada,Peanut Butter Cubes,2022-07-04,3269.0,176,7,2022,18.573863636363637
Dotty Strutley,USA,Manuka Honey Choco,2022-08-10,273.0,210,8,2022,1.3
Dennison Crosswaite,Australia,50% Dark Bites,2022-04-01,7287.0,12,4,2022,607.25
Gigi Bohling,India,Raspberry Choco,2022-02-22,2583.0,159,2,2022,16.245283018867923
Camilla Castle,UK,White Choc,2022-01-03,9982.0,187,1,2022,53.37967914438503
Karlen McCaffrey,India,Drinking Coco,2022-05-31,4795.0,233,5,2022,20.5793991416309
Dotty Strutley,UK,99% Dark & Pure,2022-01-03,9310.0,282,1,2022,33.01418439716312
Husein Augar,New Zealand,Caramel Stuffed Bars,2022-01-27,497.0,475,1,2022,1.0463157894736843
Barr Faughny,UK,50% Dark Bites,2022-01-28,581.0,65,1,2022,8.938461538461539
Curtice Advani,Australia,Organic Choco Syrup,2022-06-28,3472.0,311,6,2022,11.163987138263666
Husein Augar,UK,Choco Coated Almonds,2022-03-02,4333.0,43,3,2022,100.76744186046511
Wilone O'Kielt,Australia,After Nines,2022-05-27,3325.0,26,5,2022,127.88461538461539
Dennison Crosswaite,USA,Almond Choco,2022-06-30,11718.0,84,6,2022,139.5
Barr Faughny,Canada,Peanut Butter Cubes,2022-06-07,2100.0,78,6,2022,26.923076923076923
Kaine Padly,USA,70% Dark Bites,2022-05-12,4018.0,100,5,2022,40.18
Barr Faughny,New Zealand,Raspberry Choco,2022-07-29,6468.0,66,7,2022,98.0
Dennison Crosswaite,UK,White Choc,2022-08-03,7238.0,265,8,2022,27.31320754716981
Barr Faughny,India,Baker's Choco Chips,2022-08-18,6454.0,141,8,2022,45.773049645390074
Van Tuxwell,New Zealand,Smooth Sliky Salty,2022-06-14,3115.0,42,6,2022,74.16666666666667
Beverie Moffet,UK,White Choc,2022-06-30,6475.0,76,6,2022,85.19736842105263
Camilla Castle,New Zealand,Mint Chip Choco,2022-06-13,1162.0,190,6,2022,6.11578947368421
Ches Bonnell,UK,Orange Choco,2022-04-27,14238.0,54,4,2022,263.6666666666667
Jan Morforth,Australia,White Choc,2022-07-27,3472.0,32,7,2022,108.5
Mallorie Waber,Canada,85% Dark Bars,2022-04-20,1428.0,424,4,2022,3.3679245283018866
Rafaelita Blaksland,India,Spicy Special Slims,2022-01-04,8064.0,134,1,2022,60.17910447761194
Ches Bonnell,Australia,Mint Chip Choco,2022-02-21,9660.0,92,2,2022,105.0
Karlen McCaffrey,Australia,White Choc,2022-01-05,7357.0,48,1,2022,153.27083333333334
Beverie Moffet,India,Drinking Coco,2022-07-15,6055.0,46,7,2022,131.6304347826087
Brien Boise,Australia,Choco Coated Almonds,2022-05-25,5124.0,62,5,2022,82.64516129032258
Karlen McCaffrey,Canada,Eclairs,2022-04-20,3479.0,358,4,2022,9.717877094972067
Gigi Bohling,USA,99% Dark & Pure,2022-06-02,784.0,249,6,2022,3.1485943775100402
Marney O'Breen,UK,Smooth Sliky Salty,2022-05-13,18991.0,88,5,2022,215.8068181818182
Beverie Moffet,New Zealand,Baker's Choco Chips,2022-08-03,1372.0,144,8,2022,9.527777777777779
Beverie Moffet,Australia,Milk Bars,2022-05-25,735.0,390,5,2022,1.8846153846153846
Van Tuxwell,UK,Raspberry Choco,2022-03-16,6538.0,79,3,2022,82.75949367088607
Jan Morforth,Australia,Orange Choco,2022-07-04,3199.0,122,7,2022,26.221311475409838
Jehu Rudeforth,India,50% Dark Bites,2022-07-05,3472.0,135,7,2022,25.71851851851852
Madelene Upcott,USA,After Nines,2022-03-15,4571.0,430,3,2022,10.630232558139534
Barr Faughny,UK,Raspberry Choco,2022-08-22,5481.0,69,8,2022,79.43478260869566
Ches Bonnell,Australia,70% Dark Bites,2022-01-12,3136.0,125,1,2022,25.088
Marney O'Breen,UK,Baker's Choco Chips,2022-06-10,252.0,154,6,2022,1.6363636363636365
Kaine Padly,Australia,Peanut Butter Cubes,2022-03-25,5460.0,286,3,2022,19.09090909090909
Rafaelita Blaksland,India,Almond Choco,2022-07-27,3395.0,99,7,2022,34.292929292929294
Husein Augar,UK,Caramel Stuffed Bars,2022-04-15,14938.0,433,4,2022,34.49884526558891
Roddy Speechley,India,Orange Choco,2022-06-27,4053.0,19,6,2022,213.31578947368422
Jehu Rudeforth,UK,70% Dark Bites,2022-04-14,5565.0,258,4,2022,21.569767441860463
Husein Augar,Australia,Manuka Honey Choco,2022-03-15,7161.0,92,3,2022,77.83695652173913
Madelene Upcott,USA,Eclairs,2022-03-18,8883.0,200,3,2022,44.415
Brien Boise,India,Eclairs,2022-04-29,1351.0,61,4,2022,22.147540983606557
Mallorie Waber,New Zealand,White Choc,2022-02-25,3171.0,246,2,2022,12.890243902439025
Husein Augar,USA,Milk Bars,2022-03-02,854.0,56,3,2022,15.25
Van Tuxwell,Australia,Milk Bars,2022-06-20,7910.0,87,6,2022,90.91954022988506
Beverie Moffet,Canada,White Choc,2022-07-15,9275.0,173,7,2022,53.61271676300578
Dotty Strutley,Australia,50% Dark Bites,2022-05-12,3108.0,252,5,2022,12.333333333333334
Mallorie Waber,New Zealand,Organic Choco Syrup,2022-07-01,5075.0,256,7,2022,19.82421875
Husein Augar,USA,85% Dark Bars,2022-08-08,378.0,54,8,2022,7.0
Madelene Upcott,Australia,50% Dark Bites,2022-07-25,7350.0,6,7,2022,1225.0
Wilone O'Kielt,UK,Drinking Coco,2022-05-18,3388.0,55,5,2022,61.6
Camilla Castle,India,Peanut Butter Cubes,2022-07-15,11837.0,277,7,2022,42.73285198555957
Curtice Advani,India,70% Dark Bites,2022-07-05,2282.0,44,7,2022,51.86363636363637
Mallorie Waber,USA,Manuka Honey Choco,2022-07-04,5425.0,96,7,2022,56.510416666666664
Dotty Strutley,UK,70% Dark Bites,2022-06-20,1267.0,216,6,2022,5.8657407407407405
Gunar Cockshoot,Australia,Almond Choco,2022-01-25,3752.0,424,1,2022,8.849056603773585
Kaine Padly,New Zealand,Spicy Special Slims,2022-07-01,7728.0,37,7,2022,208.86486486486487
Gigi Bohling,USA,50% Dark Bites,2022-04-13,2296.0,59,4,2022,38.91525423728814
Beverie Moffet,UK,Smooth Sliky Salty,2022-05-04,4403.0,76,5,2022,57.93421052631579
Beverie Moffet,Australia,Baker's Choco Chips,2022-08-04,3192.0,109,8,2022,29.28440366972477
Beverie Moffet,India,70% Dark Bites,2022-06-01,448.0,146,6,2022,3.0684931506849313
Jehu Rudeforth,UK,Choco Coated Almonds,2022-04-22,4270.0,185,4,2022,23.08108108108108
Kaine Padly,USA,50% Dark Bites,2022-08-03,70.0,27,8,2022,2.5925925925925926
Ches Bonnell,USA,Orange Choco,2022-06-10,1743.0,69,6,2022,25.26086956521739
Gunar Cockshoot,UK,Manuka Honey Choco,2022-06-27,6762.0,46,6,2022,147.0
Marney O'Breen,Australia,Smooth Sliky Salty,2022-01-03,3745.0,170,1,2022,22.029411764705884
Marney O'Breen,India,After Nines,2022-07-11,2639.0,179,7,2022,14.743016759776536
Ches Bonnell,New Zealand,Milk Bars,2022-08-17,4389.0,126,8,2022,34.833333333333336
Rafaelita Blaksland,USA,Fruit & Nut Bars,2022-01-18,2604.0,65,1,2022,40.06153846153846
Ches Bonnell,India,Organic Choco Syrup,2022-03-08,16569.0,99,3,2022,167.36363636363637
Mallorie Waber,Australia,Orange Choco,2022-03-07,14658.0,275,3,2022,53.301818181818184
Husein Augar,India,70% Dark Bites,2022-05-09,6454.0,157,5,2022,41.10828025477707
Barr Faughny,New Zealand,85% Dark Bars,2022-05-23,2100.0,157,5,2022,13.375796178343949
Madelene Upcott,UK,Caramel Stuffed Bars,2022-04-15,161.0,145,4,2022,1.110344827586207
Gigi Bohling,Australia,Drinking Coco,2022-07-27,2807.0,139,7,2022,20.194244604316548
Marney O'Breen,Canada,Choco Coated Almonds,2022-08-22,2639.0,406,8,2022,6.5
Ches Bonnell,USA,70% Dark Bites,2022-05-11,4571.0,122,5,2022,37.467213114754095
Madelene Upcott,India,Organic Choco Syrup,2022-01-26,4781.0,38,1,2022,125.8157894736842
Barr Faughny,USA,50% Dark Bites,2022-04-14,13034.0,117,4,2022,111.4017094017094
Dennison Crosswaite,New Zealand,Mint Chip Choco,2022-04-05,6454.0,417,4,2022,15.477218225419664
Marney O'Breen,New Zealand,Smooth Sliky Salty,2022-06-14,8484.0,57,6,2022,148.8421052631579
Brien Boise,Canada,Almond Choco,2022-04-13,4781.0,125,4,2022,38.248
Beverie Moffet,Australia,White Choc,2022-06-27,2240.0,166,6,2022,13.493975903614459
Dotty Strutley,Australia,Eclairs,2022-01-26,6979.0,3,1,2022,2326.3333333333335
Barr Faughny,UK,White Choc,2022-07-05,1652.0,72,7,2022,22.944444444444443
Beverie Moffet,Canada,Baker's Choco Chips,2022-01-11,13447.0,95,1,2022,141.54736842105262
Kelci Walkden,USA,White Choc,2022-03-07,9422.0,22,3,2022,428.27272727272725
Kaine Padly,Canada,50% Dark Bites,2022-03-04,8687.0,100,3,2022,86.87
Karlen McCaffrey,Canada,Organic Choco Syrup,2022-07-15,2415.0,312,7,2022,7.740384615384615
Kaine Padly,UK,Peanut Butter Cubes,2022-05-11,6272.0,86,5,2022,72.93023255813954
Karlen McCaffrey,USA,Milk Bars,2022-01-27,4389.0,7,1,2022,627.0
Karlen McCaffrey,India,Orange Choco,2022-06-27,3122.0,149,6,2022,20.953020134228186
Ches Bonnell,India,Smooth Sliky Salty,2022-08-03,8043.0,18,8,2022,446.8333333333333
Wilone O'Kielt,New Zealand,Mint Chip Choco,2022-08-19,11662.0,242,8,2022,48.1900826446281
Wilone O'Kielt,Australia,Fruit & Nut Bars,2022-06-15,392.0,102,6,2022,3.843137254901961
Dennison Crosswaite,UK,Peanut Butter Cubes,2022-02-07,8925.0,158,2,2022,56.4873417721519
Karlen McCaffrey,Australia,Almond Choco,2022-07-08,7294.0,128,7,2022,56.984375
Dennison Crosswaite,India,Milk Bars,2022-04-21,1526.0,96,4,2022,15.895833333333334
Ches Bonnell,UK,Mint Chip Choco,2022-04-08,2688.0,209,4,2022,12.861244019138756
Husein Augar,Australia,50% Dark Bites,2022-08-19,14889.0,52,8,2022,286.3269230769231
Jan Morforth,India,Fruit & Nut Bars,2022-05-04,2912.0,55,5,2022,52.945454545454545
